lambda_1,p_naive,p_stable
2.0,0.2927056492148602,0.29270564921486025
2.25,0.226415630839053,0.22641563083905308
2.5,0.17477565550010082,0.17477565550010082
2.75,0.13478571605892725,0.13478571605892734
3.0,0.1039170483679376,0.10391704836793762
3.25,0.08012716171541778,0.08012716171541781
3.5,0.06180424447636397,0.061804244476363804
3.75,0.04769277367404664,0.04769277367404642
4.0,0.03682181823033817,0.03682181823033818
4.25,0.028443458905543884,0.028443458905546514
4.5,0.021982679175385798,0.021982679175384153
4.75,0.016997730602516643,0.016997730602541096
5.0,0.013149268948424199,0.013149268948372567
5.25,0.010176527780850545,0.010176527780837302
5.5,0.007879011063771231,0.007879011063663352
5.75,0.00610245925960172,0.00610245926080646
6.0,0.00472810143692414,0.004728101432038376
6.25,0.0036644246896794653,0.0036644246746734563
6.5,0.002840868743554382,0.0028408687655751552
6.75,0.0022029926130675242,0.0022029923840732567
7.0,0.0017087653837582653,0.0017087644012198286
7.25,0.0013257160934723555,0.0013257158438335858
7.5,0.0010287326764544474,0.0010287508307423637
7.75,0.0007983759140612825,0.0007984625321087899
8.0,0.0006203188436377799,0.0006198365546306638
8.25,0.00048326207056175423,0.00048125183341686593
8.5,0.00037003982243358945,0.0003737102001705943
8.75,0.0002875663098270341,0.0002902418818084312
9.0,0.00022327705885307584,0.00022544646552825852
9.25,0.00017294250063167166,0.00017513825601603997
9.5,0.00013632418291534002,0.00013607213776788916
9.75,0.00010591296269380289,0.00010573156349408824
10.0,8.229532927987447e-05,8.216451539564112e-05
10.25,6.395104484195641e-05,6.385653167412856e-05
10.5,4.970079465093548e-05,4.963238581148572e-05
10.75,3.862952573014438e-05,3.8579926197740964e-05
11.0,3.00270833357952e-05,2.999106241453853e-05
11.25,2.334222490217108e-05,2.3316024224500662e-05
11.5,1.814698469386678e-05,1.8127898413091864e-05
11.75,1.4109050801117228e-05,1.4095127134823622e-05
12.0,1.0970346883188665e-05,1.0960175417353366e-05
12.25,8.530420620081764e-06,8.522980382434645e-06
12.5,6.63355707723138e-06,6.628107779800105e-06
