lambda_2,eps,p_naive,p_stable
1.5,1.0,0.17477565550010082,0.17477565550010082
1.5,0.4641588833612779,0.5064018923316749,0.5064018923316751
1.5,0.2154434690031884,0.7496833207449421,0.7496833207449419
1.5,0.1,0.8800511392798986,0.8800511392798984
1.5,0.046415888336127795,0.9436228350077722,0.9436228350077726
1.5,0.021544346900318846,0.9736929667541809,0.9736929667541813
1.5,0.01,0.987760665142887,0.9877606651428872
1.5,0.004641588833612782,0.9943129521833718,0.9943129521833719
1.5,0.0021544346900318843,0.9973590154922558,0.9973590154922561
1.5,0.001,0.9987738868112028,0.9987738868112026
1.5,0.0004641588833612782,0.9994308291750128,0.9994308291750127
1.5,0.00021544346900318845,0.9997358015004941,0.999735801500494
1.5,0.0001,0.9998773671620609,0.9998773671620609
1.5,4.641588833612782e-05,0.9999430782849419,0.9999430782849419
1.5,2.1544346900318867e-05,0.9999735791523531,0.9999735791523526
1.5,1e-05,0.9999877365012945,0.9999877365012949
1.5,4.641588833612782e-06,0.9999943077821964,0.9999943077821961
1.5,2.1544346900318865e-06,0.999997357905261,0.999997357905261
1.5,1e-06,0.9999987736479806,0.9999987736479808
1.5,4.641588833612782e-07,0.9999994307777567,0.9999994307777568
1.5,2.1544346900318867e-07,0.9999997357904261,0.9999997357904264
1.5,1e-07,0.9999998773647765,0.9999998773647767
1.5,4.641588833612782e-08,0.9999999430777711,0.9999999430777712
1.5,2.1544346900318866e-08,0.9999999735790411,0.9999999735790414
1.5,1e-08,0.9999999877364774,0.9999999877364775
1.5,4.641588833612792e-09,0.999999994307777,0.9999999943077771
1.5,2.1544346900318866e-09,0.999999997357904,0.9999999973579041
1.5,1e-09,0.9999999987736476,0.9999999987736474
1.5,4.6415888336127913e-10,0.9999999994307774,0.9999999994307778
1.5,2.1544346900318867e-10,0.9999999997357905,0.9999999997357905
1.5,1e-10,0.9999999998773648,0.9999999998773645
1.5,4.6415888336127916e-11,0.9999999999430775,0.9999999999430775
1.5,2.1544346900318868e-11,0.999999999973579,0.9999999999735787
1.5,1e-11,0.9999999999877365,0.9999999999877365
1.5,4.641588833612792e-12,0.9999999999943078,0.9999999999943077
1.5,2.1544346900318868e-12,0.9999999999973577,0.9999999999973579
1.5,1e-12,0.9999999999987733,0.9999999999987734
1.5,4.641588833612791e-13,0.9999999999994308,0.9999999999994309
1.5,2.1544346900318868e-13,0.9999999999997357,0.999999999999736
1.5,1e-13,0.9999999999998771,0.9999999999998777
1.5,4.6415888336127915e-14,0.9999999999999428,0.9999999999999427
1.5,2.1544346900318866e-14,0.9999999999999732,0.9999999999999731
1.5,1e-14,0.9999999999999875,0.9999999999999873
1.5,4.641588833612791e-15,0.999999999999994,0.9999999999999938
1.5,2.1544346900318867e-15,0.9999999999999971,0.9999999999999973
1.5,1e-15,0.9999999999999981,0.9999999999999982
2.5,1.0,0.06180424447636397,0.061804244476363804
2.5,0.4641588833612779,0.3125324671328777,0.31253246713287736
2.5,0.2154434690031884,0.5993078972822672,0.5993078972822666
2.5,0.1,0.79323652357562,0.7932365235756204
2.5,0.046415888336127795,0.8992262735711394,0.8992262735711402
2.5,0.021544346900318846,0.9521579505272054,0.9521579505272052
2.5,0.01,0.9775605959613685,0.9775605959613674
2.5,0.004641588833612782,0.9895340139865224,0.9895340139865226
2.5,0.0021544346900318843,0.9951311998489673,0.9951311998489666
2.5,0.001,0.9977377473852919,0.9977377473852914
2.5,0.0004641588833612782,0.9989494474986631,0.9989494474986633
2.5,0.00021544346900318845,0.9995122672785036,0.9995122672785036
2.5,0.0001,0.9997735909421024,0.9997735909421014
